"Question ID","Question","Location","Markers","Reason","Original question","Original answer","Revised customer answer","Alternative questions","Review references"
"Q-099","Can two products use the same SKU?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Can two products use the same SKU?","They should not use the same SKU if they represent different physical items.
Duplicate SKUs can cause incorrect inventory and order fulfillment.","Location: Product Management > Product List
They should not use the same SKU if they represent different physical items.
Duplicate SKUs can cause incorrect inventory and order fulfillment.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-100","What is the difference between a platform SKU and a Merchant SKU?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What is the difference between a platform SKU and a Merchant SKU?","Platform SKU comes from a marketplace listing.
Merchant SKU is the ERP’s internal inventory identity.
SKU Mapping connects them.","Location: Product Management > Product List
Platform SKU comes from a marketplace listing.
Merchant SKU is the ERP's internal inventory identity.
SKU Mapping connects them.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-101","Why might the product name be in another language?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why might the product name be in another language?","Product information may be imported from its marketplace listing.
Changing the ERP interface language does not automatically translate imported product names.","Location: Product Management > Product List
Product information may be imported from its marketplace listing.
Changing the ERP interface language does not automatically translate imported product names.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-102","What does Select Warehouse do?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What does Select Warehouse do?","It filters products according to a selected warehouse.
This helps you focus on products associated with one inventory location.","Location: Product Management > Product List
It filters products according to a selected warehouse.
This helps you focus on products associated with one inventory location.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-103","Why does the warehouse selector show a placeholder?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","Why does the warehouse selector show a placeholder?","A placeholder means no warehouse has been selected or no warehouse is currently available.
If no warehouse exists, create one under Warehouse Management before using warehouse-based product functions.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407023_WERP_Q-103.png","Location: Product Management > Product List
A placeholder means no warehouse has been selected or no warehouse is currently available.
If no warehouse exists, create one under Warehouse Management before using warehouse-based product functions.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-104","What does Product Status do?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What does Product Status do?","It filters products by their current status.
The available status options may depend on the product source and ERP configuration.","Location: Product Management > Product List
It filters products by their current status.
The available status options may depend on the product source and ERP configuration.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-105","What does Select Country do?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What does Select Country do?","It filters products according to a country or marketplace region.
This is useful when the business operates in several countries.","Location: Product Management > Product List
It filters products according to a country or marketplace region.
This is useful when the business operates in several countries.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-106","What is the dedicated SKU field?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What is the dedicated SKU field?","It is used to find a product by its SKU.
Enter the complete SKU for the most precise result.","Location: Product Management > Product List
It is used to find a product by its SKU.
Enter the complete SKU for the most precise result.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-107","What is the general Search field?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Explained the overlapping search fields.","What is the general Search field?","It is intended for a broader product search.
Depending on the ERP’s search rules, it may find a product using its name, SKU, or other indexed information.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407024_WERP_Q-107.png","Location: Product Management > Product List
Use Search on Product Management > Product List to find the product, and use the SKU field when you know its code. If a search finds nothing, clear the SKU field and other filters before trying the product name. An entered SKU can take priority over the general search.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-108","Can I use several filters together?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED","Corrected the implication that both text searches are always applied independently.","Can I use several filters together?","Yes. You can combine:
Warehouse
Product status
Country
SKU
General search","Location: Product Management > Product List
You can combine Warehouse, Product Status, and Country with a search. Use either the SKU field or general Search for the item you want; an entered SKU takes priority over general Search. Click Clear all to reset the filters.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-109","Why does no product appear after I apply filters?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Removed an incorrect assumption that this page requires synchronized platform products.","Why does no product appear after I apply filters?","Possible reasons include:
No product matches all selected filters.
The wrong warehouse is selected.
The wrong country is selected.
The product has another status.
The SKU was typed incorrectly.
The account has no synchronized products.
Clear filters one at a time to identify the problem.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407025_WERP_Q-109.png","Location: Product Management > Product List
Clear the active filters and check the SKU spelling and warehouse. If the dedicated SKU field is filled, clear it before using the general product search. Product List contains Merchant SKU records; look in Inventory Management > SKU Mapping > By Product for imported marketplace listings instead.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-110","Why is the Product List empty?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why is the Product List empty?","Possible reasons include:
The account is new.
No marketplace store is connected.
No products have been added.
Product synchronization has not occurred.
The selected filters exclude all products.
Store authorization is incomplete.","Location: Product Management > Product List
Possible reasons include:
The account is new.
No marketplace store is connected.
No products have been added.
Product synchronization has not occurred.
The selected filters exclude all products.
Store authorization is incomplete.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-111","How do I get marketplace products into the ERP?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED","Separated marketplace import from internal product creation.","How do I get marketplace products into the ERP?","A typical process is:
Connect the store under Store Authorization.
Confirm the store is authorized.
Synchronize or add products.
Create Merchant SKUs if required.
Map platform SKUs to Merchant SKUs.
Verify warehouse inventory.","Location: Product Management > Product List
1. Go to System Configuration > Store Authorization and authorize the store.
2. Open Inventory Management > SKU Mapping > By Product.
3. Click Sync Product, select the platform and store, and click Confirm Sync.
4. Expand Show child SKUs to inspect variations.
5. Generate or map the required Merchant SKUs, then check their stock in Inventory Management > Inventory List.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-112","What does the Image column show in Product List?","Product Management > Product List","REVIEWED - MEANING RETAINED; EDITED QUESTION; FORMAT UPDATED; IMAGE CHECK NEEDED","Added the exact page name to distinguish this repeated question from similar controls on other pages.","What does the Image column show?","It displays the image associated with the product.
The image may come from the marketplace listing or an ERP product record.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407026_WERP_Q-112.png","Location: Product Management > Product List
It displays the image associated with the product.
The image may come from the marketplace listing or an ERP product record.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-113","Why is a product image missing?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why is a product image missing?","Possible reasons include:
The original listing has no image.
Image synchronization failed.
The source image is unavailable.
The product record is incomplete.
The internet connection is slow.
The image has not finished loading.","Location: Product Management > Product List
Possible reasons include:
The original listing has no image.
Image synchronization failed.
The source image is unavailable.
The product record is incomplete.
The internet connection is slow.
The image has not finished loading.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-114","Where can I add a product image?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Confirmed the image picker and file guidance.","Where can I add a product image?","The Product List does not provide a direct image-upload control.
Image upload may be available through:
Add Products
Product Details
Product Actions
Marketplace product management
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407027_WERP_Q-114.png","Location: Product Management > Product List
Go to Product Management > Product List. For a new product, choose Add Products > Add Single Product, then Browse File. For an existing product, open Actions > Edit and choose its image. Use a JPEG or PNG smaller than 5 MB, then click Save.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-115","Will changing an ERP image update the marketplace?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED","Confirmed that the edit calls the local Merchant SKU update only.","Will changing an ERP image update the marketplace?","Not necessarily.
Before saving, confirm whether the image change affects only the ERP or also synchronizes to the marketplace.","Location: Product Management > Product List
Changing a product image through Product Management > Product List updates the ERP Merchant SKU record. This form does not publish an image update to a connected marketplace listing. Change the listing image in the marketplace seller tools when that is required.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-116","What kind of product image should I use?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What kind of product image should I use?","Use an image that:
Clearly shows the correct product
Matches the exact variation
Does not include unrelated items
Meets marketplace image requirements
Uses an appropriate size and file format","Location: Product Management > Product List
Use an image that:
- Clearly shows the correct product
- Matches the exact variation
- Does not include unrelated items
- Meets marketplace image requirements
- Uses an appropriate size and file format","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-117","What does Available in Inventory mean?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED","Replaced vague quantity wording with the actual calculation.","What does Available in Inventory mean?","It is the quantity currently available according to the ERP’s inventory records.","Location: Product Management > Product List
Available in Inventory is the recorded stock on hand minus stock reserved for orders, with a minimum displayed value of zero. For example, Quantity 20 and Lock Quantity 5 leave 15 available. Check the warehouse before comparing this with a physical count.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-118","What does In-transit Inventory mean?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What does In-transit Inventory mean?","It represents stock moving toward a warehouse or waiting for the inbound process to finish.","Location: Product Management > Product List
It represents stock moving toward a warehouse or waiting for the inbound process to finish.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-119","Is in-transit inventory available for immediate sale?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Confirmed receiving requirement.","Is in-transit inventory available for immediate sale?","Not necessarily.
The stock may need to be received and completed before it becomes available inventory.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407028_WERP_Q-119.png","Location: Product Management > Product List
No. In-transit inventory is expected stock, not stock already received and available. When goods arrive, record the actual received quantity through Inventory Management > Inbound > On The Way > Receive.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-120","Why does a product show no available inventory?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why does a product show no available inventory?","Possible reasons include:
No stock has been received.
The product is not mapped to a Merchant SKU.
Stock belongs to another warehouse.
Inventory is locked for active orders.
Inventory synchronization failed.
An inbound transaction is not completed.","Location: Product Management > Product List
Possible reasons include:
No stock has been received.
The product is not mapped to a Merchant SKU.
Stock belongs to another warehouse.
Inventory is locked for active orders.
Inventory synchronization failed.
An inbound transaction is not completed.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-121","Why might the physical stock and ERP stock differ?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why might the physical stock and ERP stock differ?","Possible reasons include:
Receiving was not recorded.
Outbound stock was not recorded.
An incorrect warehouse was used.
An order reserved inventory.
SKU mapping is incorrect.
Synchronization is delayed.
A physical counting error occurred.","Location: Product Management > Product List
Possible reasons include:
Receiving was not recorded.
Outbound stock was not recorded.
An incorrect warehouse was used.
An order reserved inventory.
SKU mapping is incorrect.
Synchronization is delayed.
A physical counting error occurred.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-122","Where should I investigate an incorrect quantity?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED","Added full paths and a practical order of checks.","Where should I investigate an incorrect quantity?","Check:
Product Details
Merchant SKU
SKU Mapping
Inventory List
Inbound
Outbound
Inventory Log
Selected warehouse","Location: Product Management > Product List
Open Product Management > Product List > Details for the affected product. Then go to Inventory Management > Inventory List, select the warehouse, and compare Quantity and Lock Quantity. Use Inventory Management > Inventory Log to trace receipts, outbound shipments, sales deductions, and adjustments.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-123","Does Product Management directly control warehouse stock?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Does Product Management directly control warehouse stock?","Product Management displays inventory-related information, but stock movements are mainly managed through Inventory Management.","Location: Product Management > Product List
Product Management displays inventory-related information, but stock movements are mainly managed through Inventory Management.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-124","What does the checkbox in each row do?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What does the checkbox in each row do?","It selects that product for a possible batch operation.
Selecting a checkbox does not change the product.","Location: Product Management > Product List
It selects that product for a possible batch operation.
Selecting a checkbox does not change the product.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-125","What does Select All do in Product List?","Product Management > Product List","MODIFIED ANSWER; EDITED QUESTION; FORMAT UPDATED","Corrected the current-page-only claim. Added the exact page name to distinguish this repeated question from similar controls on other pages.","What does Select All do?","It selects all product rows displayed on the current page.
It may not select products on other pagination pages.","Location: Product Management > Product List
Select All selects the products matching the current filters across all result pages. Check the selected count before using Bulk Action. Clear the selection and tick individual rows if you only want specific products.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-126","Why is Bulk Action disabled?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why is Bulk Action disabled?","Bulk Action remains disabled until at least one product is selected.","Location: Product Management > Product List
Bulk Action remains disabled until at least one product is selected.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-127","Which bulk actions are available?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Which bulk actions are available?","The Product List provides:
Batch Print
Batch Export
Batch Stock Alert Setting
Batch Delete","Location: Product Management > Product List
The Product List provides:
- Batch Print
- Batch Export
- Batch Stock Alert Setting
- Batch Delete","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-128","What does Batch Print do?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED","Added the concrete print workflow.","What does Batch Print do?","It prepares information for selected products for printing.
Confirm the selected products and printing format before proceeding.","Location: Product Management > Product List
Select the products in Product Management > Product List, then choose Bulk Action > Batch Print. A print view opens for the selected records. Check the preview, choose your printer, and print. If no print window appears, check whether your browser blocked it.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-129","What does Batch Export do?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED","Confirmed selected scope and file types.","What does Batch Export do?","It downloads information about the selected products.
Exported files may contain business information and should be handled securely.","Location: Product Management > Product List
Select the products in Product Management > Product List, then choose Bulk Action > Batch Export. It downloads the selected product information as an Excel file. To choose CSV or Excel, use the Export menu below the table.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-130","What is Batch Stock Alert Setting?","Product Management > Product List","MODIFIED ANSWER; QUESTION VARIANTS ADDED; FORMAT UPDATED","Added exact fields and validation.","What is Batch Stock Alert Setting?","It applies a low-stock warning threshold to selected products.
This helps the Dashboard identify products that may need replenishment.","Location: Product Management > Product List
In Product Management > Product List, select the products and choose Bulk Action > Batch Stock Alert Setting. In Set Stock Alert, enter Set minimum Stock and click Set. The threshold must be zero or more. This changes the warning level, not the stock quantity.","How do I set a minimum stock warning?; How can I set product stock alerts?","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-131","What does Batch Delete do?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED","Replaced speculative deletion scope with backend restrictions.","What does Batch Delete do?","It deletes or removes selected product records from the applicable ERP context.
Never use it without confirming:
Every selected product
Whether marketplace products are affected
Whether SKU mappings are affected
Whether inventory history remains available
Whether deletion can be reversed","Location: Product Management > Product List
Batch Delete permanently removes the selected ERP Merchant SKU records after confirmation. Products still used in Combine SKUs, holding stock, or referenced by protected operational history can be blocked. Read the message and resolve the real dependency; do not change a correct stock count just to make deletion possible.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-132","Does selecting a bulk action immediately execute it?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED","Clarified different bulk-action confirmation behavior.","Does selecting a bulk action immediately execute it?","It may open another confirmation or configuration step.
Always review the selected products and final action before proceeding.","Location: Product Management > Product List
It depends on the action. Batch Print opens a print view and Batch Export starts a download. Batch Stock Alert Setting opens a form, while Batch Delete opens a confirmation. Review the selected count before choosing the action.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-133","What does Add Products do?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED","Documented the actual Add Products menu.","What does Add Products do?","Add Products begins the workflow for adding or importing products into the ERP.","Location: Product Management > Product List
Go to Product Management > Product List and open Add Products. Choose Add Single Product to enter one item, Add Product via Template to upload several, or Download Template to get the spreadsheet format. These actions create internal ERP products, not marketplace listings.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-134","Does clicking Add Products immediately create a product?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Replaced a guessed form sequence with actual menu behavior.","Does clicking Add Products immediately create a product?","No. It should first open a product-addition workflow.
A product is normally created only after the required information is completed and submitted.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407029_WERP_Q-134.png","Location: Product Management > Product List
No. Add Products opens a menu. Choose Add Single Product or Add Product via Template, complete the form, and click Save to submit it. Wait for the success message and check the Product List before trying again.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-135","What should I check before adding a product?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What should I check before adding a product?","Confirm:
The product does not already exist.
SKU is correct and unique.
Product name is correct.
Store and marketplace are correct.
Country is correct.
Warehouse is correct.
Product image matches the item.
Inventory mapping is planned.","Location: Product Management > Product List
Confirm:
The product does not already exist.
SKU is correct and unique.
Product name is correct.
Store and marketplace are correct.
Country is correct.
Warehouse is correct.
Product image matches the item.
Inventory mapping is planned.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-136","Can Add Products create duplicate products?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Can Add Products create duplicate products?","Duplicates may occur if an existing product is added again.
Search by exact SKU and product name before creating or importing another record.","Location: Product Management > Product List
Duplicates may occur if an existing product is added again.
Search by exact SKU and product name before creating or importing another record.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-137","What does Details show in Product List?","Product Management > Product List","MODIFIED ANSWER; EDITED QUESTION; FORMAT UPDATED; IMAGE CHECK NEEDED","Clarified Details as read-only. Added the exact page name to distinguish this repeated question from similar controls on other pages.","What does Details do?","Details opens more information about the selected product.
It may show inventory, mapping, warehouse, or marketplace information.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788407030_WERP_Q-137.png","Location: Product Management > Product List
In Product Management > Product List, click Details beside the product. Product Details displays information such as SKU, warehouse, available inventory, in-transit inventory, price, GTIN, weight, dimensions, and dates. Use Actions > Edit if you need to change the product.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-138","Which Actions are available in Product List?","Product Management > Product List","MODIFIED ANSWER; EDITED QUESTION; FORMAT UPDATED","Replaced speculative action list with actual controls. Added the exact page name to distinguish this repeated question from similar controls on other pages.","What does Actions do?","Actions opens operations available for that product.
The available actions may include viewing, editing, or other product-management functions.","Location: Product Management > Product List
In Product Management > Product List, open Actions beside the product. Edit opens its form; Delete opens a confirmation. Check that you selected the correct SKU before continuing.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-139","Why are Details and Actions separate?","Product Management > Product List","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why are Details and Actions separate?","Details is generally used for reviewing information.
Actions is generally used for operations that may affect the record.","Location: Product Management > Product List
Details is generally used for reviewing information.
Actions is generally used for operations that may affect the record.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-140","Can I edit a product from the Product List?","Product Management > Product List","MODIFIED ANSWER; QUESTION VARIANTS ADDED; FORMAT UPDATED","Added the complete edit workflow.","Can I edit a product from the Product List?","An editing option may be available through Details or Actions.
Before saving, confirm whether changes also affect a connected marketplace listing.","Location: Product Management > Product List
Yes. Go to Product Management > Product List, find the SKU, and choose Actions > Edit. Update the fields you need, review the image and warehouse, then click Save. This edits the internal ERP product record.","How do I update a product in Product List?; Where can I edit a product?","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-141","Can I delete a product from Actions?","Product Management > Product List","MODIFIED ANSWER; FORMAT UPDATED","Confirmed delete control and dependencies.","Can I delete a product from Actions?","A deletion option may be available.
Before deleting, confirm whether it affects:
Marketplace listings
Merchant SKU mappings
Warehouse inventory
Combined SKUs
Active orders
Historical records","Location: Product Management > Product List
Yes. In Product Management > Product List, choose Actions > Delete beside the correct SKU and read the confirmation. Deletion can be blocked if stock, a Combine SKU, or protected order and inventory records still use that SKU. A deleted product cannot be restored from this screen.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
"Q-142","What does Export do in Product List?","Product Management > Product List","MODIFIED ANSWER; EDITED QUESTION; FORMAT UPDATED","Resolved export scope. Added the exact page name to distinguish this repeated question from similar controls on other pages.","What does Export do?","Export downloads product-list information.
Verify whether it exports:
Selected products
Current page
Filtered results
Complete list","Location: Product Management > Product List
Select the product rows first, then open Export below Product Management > Product List and choose CSV or Excel. The export contains selected records. To include all matching pages, use Select All and check the selected count first.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
